ID,Start time,Completion time,Gender,Age,Closest biggest city near you,Number of kids (<18y) living with you,Birth Year,Number of modules completed so far,Average mark so far2,Prediction for this module's mark,I enjoy working with data,I am excited about working with data,I am afraid of working with data,I am interested in understanding Data Analytics,I plan to work hard in this module,"Height (absolute value, in centimeters (cm) - sorry imperial system users!)",Height (relative)
88,1/4/21 11:54:56,1/4/21 11:56:51,Man,40-49,Bruxelles,0,1972,2,77,85,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,179,average
89,1/4/21 11:55:53,1/4/21 11:57:17,Woman,20-29,Prague,0,1995,1,75,70,Completely Agree,Completely Agree,Disagree,Completely Agree,Completely Agree,164,average
90,1/4/21 17:37:10,1/4/21 17:38:42,Man,30-39,Singapore,0,1983,3,60,60,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,168,short
91,1/4/21 19:10:05,1/4/21 19:11:04,Woman,20-29,Riyadh ,0,1996,3,68,68,Completely Agree,Completely Agree,Completely Agree,Completely Agree,Completely Agree,168,average
92,1/4/21 18:37:35,1/4/21 20:07:28,Man,40-49,"Washington, DC",1,1972,5,73,80,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,172.72,short
93,1/4/21 21:07:06,1/4/21 21:14:50,Man,50-59,Zurich,2,1961,2,1,60,Agree,Agree,Disagree,Completely Agree,Agree,1.75,very short
94,1/4/21 23:01:04,1/4/21 23:03:42,Man,40-49,Luanda,3,1977,2,55,75,Agree,Agree,Disagree,Completely Agree,Completely Agree,173,average
95,1/5/21 1:31:31,1/5/21 1:34:13,Man,30-39,Cairo,0,1988,3,74,80,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,183,tall
96,1/5/21 2:17:58,1/5/21 2:20:10,Woman,50-59,Shanghai,0,1969,3,63,63,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,165,average
97,1/5/21 4:13:34,1/5/21 4:15:25,Man,40-49,Singapore,1,1978,1,78,75,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,190,tall
98,1/5/21 4:47:47,1/5/21 4:50:05,Woman,50-59,Ho Chi Minh City,3,1970,3,68,60,Meh,Meh,Agree,Completely Agree,Completely Agree,173,tall
99,1/5/21 10:50:37,1/5/21 10:56:38,Woman,20-29,London,0,1992,none,,75,Agree,Agree,Agree,Completely Agree,Completely Agree,155,average
100,1/5/21 11:25:08,1/5/21 11:28:35,Woman,40-49,Zurich,0,1971,3,62,55,Agree,Agree,Meh,Completely Agree,Completely Agree,178,tall
101,1/5/21 11:42:31,1/5/21 11:43:46,Man,40-49,Brindisi,2,1975,1,5,7,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Agree,169,short
102,1/5/21 14:54:03,1/5/21 14:56:58,Man,40-49,Toronto,3,1976,3,69,75,Agree,Agree,Completely Disagree,Completely Agree,Completely Agree,186,tall
103,1/6/21 18:49:41,1/6/21 18:52:01,Man,30-39,Basel,1,1982,2,66,75,Agree,Meh,Disagree,Completely Agree,Agree,187,tall
